squirrel_id,latitude,longitude,year,month,day
26A-AM-1014-01,40.7875392957722,-73.9673243699918,2018,10,14
17F-PM-1020-04,40.7786749596774,-73.9673235555321,2018,10,20
11A-PM-1013-03,40.7755119810678,-73.9757536187319,2018,10,13
6A-PM-1012-07,40.7716184505002,-73.9785536529136,2018,10,12
17A-AM-1017-01,40.7803588122409,-73.9719036217446,2018,10,17
40C-AM-1017-07,40.7975685470963,-73.9568382279233,2018,10,17
8A-PM-1014-01,40.773709213914,-73.976730206737,2018,10,14
13C-PM-1019-05,40.7761311465857,-73.972212563004,2018,10,19
41E-PM-1013-05,40.7979800395433,-73.954092292214,2018,10,13
3H-AM-1008-05,40.7663703404546,-73.9734762649298,2018,10,8
40E-AM-1014-03,40.7968774599654,-73.9554891003543,2018,10,14
2A-AM-1010-02,40.7683896665502,-73.9809610117171,2018,10,10
3A-PM-1017-03,40.7697950141751,-73.9801661903932,2018,10,17
9A-AM-1013-04,40.7741908010484,-73.976769659152,2018,10,13
9E-PM-1014-02,40.7731671049246,-73.9728783802067,2018,10,14
14G-AM-1012-02,40.7759013923034,-73.9679008849677,2018,10,12
38D-AM-1017-03,40.796268457326,-73.9572686979412,2018,10,17
22F-AM-1007-03,40.7825966332367,-73.9638298997554,2018,10,7
3H-PM-1014-07,40.7664248283566,-73.9725174868556,2018,10,14
28D-AM-1012-04,40.7883829851518,-73.9624538733037,2018,10,12
1B-AM-1012-10,40.7678723471007,-73.9802079259866,2018,10,12
32D-PM-1006-04,40.7910157676119,-73.9602398690946,2018,10,6
34E-PM-1006-01,40.7927301214476,-73.958417813526,2018,10,6
2D-AM-1007-01,40.7675178797546,-73.9779811967788,2018,10,7
3A-PM-1017-08,40.7698034314993,-73.9799155966086,2018,10,17
4C-PM-1010-11,40.7697167828003,-73.977447585355,2018,10,10
40E-PM-1017-02,40.7971235333699,-73.955018489069,2018,10,17
38E-AM-1010-02,40.7958097849369,-73.9564011421122,2018,10,10
32I-AM-1013-04,40.7889040503316,-73.9552880892701,2018,10,13
19F-PM-1017-06,40.7802820943863,-73.9651828383592,2018,10,17
13E-AM-1017-11,40.7759815566123,-73.9707683621584,2018,10,17
14F-PM-1012-07,40.7765973509721,-73.9691057326088,2018,10,12
19F-AM-1007-01,40.7798160637561,-73.9658181813014,2018,10,7
37C-PM-1013-01,40.7957981310897,-73.9580785600617,2018,10,13
13E-PM-1008-05,40.7762912142457,-73.970595381455,2018,10,8
26I-PM-1010-04,40.7840492606552,-73.9594529310985,2018,10,10
16D-AM-1007-02,40.7782343912417,-73.9698032734704,2018,10,7
13G-PM-1008-03,40.7745309794155,-73.9685080639873,2018,10,8
7H-PM-1006-05,40.7701125773248,-73.970465600402,2018,10,6
32F-AM-1012-03,40.7903905787005,-73.9585537668382,2018,10,12
42H-AM-1019-01,40.797225436004,-73.9504693544225,2018,10,19
21G-AM-1014-03,40.7808999610914,-73.963858549251,2018,10,14
38D-AM-1017-05,40.7959810622342,-73.9576304473722,2018,10,17
2C-AM-1010-09,40.7679259390448,-73.9793565564361,2018,10,10
3D-PM-1010-01,40.7681019683859,-73.9779228287629,2018,10,10
35F-PM-1012-01,40.7932014159087,-73.9570132570934,2018,10,12
9H-PM-1018-01,40.7712062147171,-73.9695569897042,2018,10,18
7E-AM-1006-06,40.7714942196257,-73.9736169886655,2018,10,6
40C-AM-1017-06,40.798181446265,-73.956200809768,2018,10,17
14F-AM-1007-03,40.776340465695,-73.9691585756191,2018,10,7
4D-PM-1008-14,40.7691598773017,-73.9772026572674,2018,10,8
5E-AM-1008-03,40.7691848214817,-73.9745427984089,2018,10,8
15H-PM-1008-07,40.7757530583569,-73.9661694463488,2018,10,8
30C-AM-1014-01,40.7905208345549,-73.9626881234742,2018,10,14
