squirrel_id,primary_colour,black,cinnamon,gray,white
12F-PM-1007-04,Gray,False,True,False,False
3B-AM-1010-08,Gray,False,True,False,False
38G-PM-1020-01,Gray,False,True,False,False
4D-PM-1008-06,Cinnamon,False,False,True,True
3G-PM-1013-01,Gray,False,True,False,False
14G-PM-1013-01,Gray,False,True,False,False
5C-AM-1006-02,Cinnamon,False,False,False,True
42H-AM-1019-02,Gray,False,True,False,False
38A-PM-1013-03,Gray,False,True,False,False
22C-AM-1013-03,Cinnamon,False,False,True,False
36F-PM-1012-04,Gray,False,False,False,True
5C-AM-1006-03,Gray,False,True,False,False
10F-PM-1019-02,Gray,False,True,False,False
5I-PM-1008-01,Black,False,True,False,False
21G-AM-1014-07,Gray,False,False,False,True
22B-PM-1014-05,Gray,False,True,False,False
3D-AM-1006-08,Cinnamon,False,False,True,False
3E-PM-1008-03,Gray,False,True,False,False
17F-PM-1020-03,Gray,False,True,False,False
22D-PM-1012-04,Gray,True,False,False,True
42G-PM-1014-03,Cinnamon,False,False,True,False
2H-AM-1006-02,Gray,False,True,False,True
36I-AM-1017-05,Gray,False,True,False,False
32B-AM-1017-03,Gray,False,True,False,False
37E-PM-1006-04,Cinnamon,False,False,True,True
12B-AM-1007-02,Gray,False,True,False,False
14A-PM-1014-01,Gray,False,True,False,True
9B-PM-1013-07,Gray,False,False,False,True
8C-PM-1013-05,Gray,False,False,False,True
6B-PM-1017-04,Gray,False,True,False,False
5D-AM-1020-02,Gray,False,True,False,False
40A-AM-1010-04,Gray,False,True,False,False
4E-AM-1020-01,Gray,False,True,False,True
2D-PM-1012-02,Gray,False,True,False,True
6F-PM-1008-05,Cinnamon,False,False,False,True
10B-PM-1014-02,Gray,False,False,False,True
3C-PM-1008-02,Cinnamon,False,False,True,True
7F-AM-1008-02,Gray,False,True,False,False
38D-AM-1017-02,Gray,False,True,False,False
10C-PM-1013-04,Gray,False,True,False,False
26I-PM-1010-02,Gray,False,True,False,False
3D-AM-1006-03,Cinnamon,False,False,True,False
37H-AM-1018-03,Gray,False,False,False,True
